# TTS trial cases (Phase A6). Format: id<TAB>text
# Cover names, numbers, room names and multi-syllable words that matter for
# home announcements.
tts-01	已把客厅空调调到二十六度。
tts-02	爸爸、小朋友，吃饭啦！
tts-03	已经在卧室播报了。
tts-04	客厅的灯已经关上了。
tts-05	空调设定为二十六度，当前室温二十八度。
tts-06	没有找到爸爸的位置，要全屋播报吗？
tts-07	卧室的空调已经打开，模式是制冷。
tts-08	厨房的灯亮度调到了百分之五十。
tts-09	抱歉，客厅的灯现在离线，没有执行。
tts-10	请问是哪个房间需要调整？
tts-11	妈妈在厨房，爸爸在卧室，孩子还在客厅。
tts-12	窗帘已经拉开，现在是百分之八十。
tts-13	温度已经调到二十三度，需要再低一点吗？
tts-14	通知已安排在卧室播放。
tts-15	客厅和卧室的空调都已关闭。
tts-16	现在是下午五点整，要准备做饭了吗？
tts-17	小朋友，该起床吃饭了。
tts-18	空调已经切换到除湿模式。
tts-19	灯已经打开了，亮度是百分之三十。
tts-20	好的，我先把客厅的灯调暗一点。
